epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,875.354,0.71991,0.52167,1.41318,0.95056,0.84381,0.9203,0.7547,0.70672,0.5896,1.36908,0.00166835,0.00166835,0.00166835
69,887.824,0.71442,0.5189,1.41114,0.95217,0.8641,0.93668,0.77341,0.69917,0.55922,1.39526,0.0016634,0.0016634,0.0016634
70,900.499,0.6943,0.48434,1.42696,0.95131,0.87179,0.94015,0.76054,0.72142,0.51111,1.36862,0.00165845,0.00165845,0.00165845
71,912.982,0.69467,0.49031,1.428,0.9383,0.83285,0.91509,0.74319,0.71137,0.57126,1.35516,0.0016535,0.0016535,0.0016535
72,925.757,0.71275,0.49732,1.42449,0.91949,0.84178,0.90116,0.72948,0.73707,0.62046,1.45873,0.00164855,0.00164855,0.00164855
73,938.637,0.70633,0.50194,1.40407,0.96519,0.84353,0.92542,0.7562,0.69847,0.54577,1.36545,0.0016436,0.0016436,0.0016436
74,951.519,0.71293,0.50422,1.39939,0.93913,0.84501,0.92041,0.73773,0.71632,0.55814,1.40849,0.00163865,0.00163865,0.00163865
75,964.593,0.68172,0.4976,1.40679,0.95027,0.85274,0.91932,0.7596,0.69052,0.59091,1.37842,0.0016337,0.0016337,0.0016337
76,977.422,0.69501,0.50454,1.39735,0.92149,0.85703,0.91773,0.75431,0.67362,0.55763,1.38826,0.00162875,0.00162875,0.00162875
77,990.05,0.7061,0.50712,1.42119,0.9477,0.8357,0.91766,0.74531,0.70767,0.57082,1.36675,0.0016238,0.0016238,0.0016238
78,1002.72,0.69049,0.49975,1.39352,0.94526,0.84063,0.92213,0.75528,0.71969,0.55869,1.37702,0.00161885,0.00161885,0.00161885
79,1015.25,0.6926,0.50919,1.4069,0.9517,0.82961,0.90481,0.74614,0.69579,0.57783,1.37042,0.0016139,0.0016139,0.0016139
80,1028.2,0.67353,0.48175,1.40365,0.91977,0.88367,0.92452,0.7592,0.67771,0.53871,1.42454,0.00160895,0.00160895,0.00160895
81,1040.57,0.702,0.50193,1.41767,0.92126,0.8641,0.91811,0.75129,0.69911,0.5549,1.38764,0.001604,0.001604,0.001604
82,1053.39,0.67902,0.48532,1.44633,0.94787,0.84833,0.92505,0.75346,0.68265,0.52942,1.39687,0.00159905,0.00159905,0.00159905
83,1066.13,0.69655,0.4886,1.4345,0.95056,0.819,0.90993,0.74497,0.68736,0.6017,1.38491,0.0015941,0.0015941,0.0015941
84,1079.3,0.67136,0.47543,1.39168,0.95352,0.83228,0.92212,0.76021,0.70156,0.57528,1.43324,0.00158915,0.00158915,0.00158915
85,1092.44,0.69426,0.48914,1.44448,0.95151,0.82961,0.91096,0.75757,0.68604,0.5839,1.38672,0.0015842,0.0015842,0.0015842
86,1105.17,0.69142,0.48653,1.38901,0.94797,0.84995,0.91783,0.75558,0.67942,0.56187,1.37496,0.00157925,0.00157925,0.00157925
87,1118.3,0.67509,0.48671,1.38015,0.95502,0.84584,0.9283,0.76794,0.66842,0.55151,1.35121,0.0015743,0.0015743,0.0015743
88,1131.17,0.69952,0.50164,1.40478,0.93567,0.86207,0.90796,0.74291,0.72685,0.61704,1.37769,0.00156935,0.00156935,0.00156935
89,1144.52,0.66908,0.47289,1.40365,0.92805,0.86345,0.91037,0.74141,0.72923,0.56393,1.36127,0.0015644,0.0015644,0.0015644
90,1157.37,0.67838,0.48374,1.39894,0.96077,0.83164,0.9155,0.74827,0.67793,0.56225,1.3701,0.00155945,0.00155945,0.00155945
91,1170,0.70388,0.49188,1.43231,0.93964,0.8526,0.91063,0.74255,0.72473,0.5916,1.4122,0.0015545,0.0015545,0.0015545
92,1182.44,0.69327,0.47699,1.41701,0.96346,0.84787,0.91737,0.75719,0.6984,0.5994,1.36162,0.00154955,0.00154955,0.00154955
93,1195.05,0.68196,0.47872,1.3901,0.94604,0.8535,0.92362,0.75469,0.70104,0.54163,1.35595,0.0015446,0.0015446,0.0015446
94,1207.56,0.67664,0.47468,1.43031,0.95209,0.84653,0.91588,0.75272,0.70246,0.59797,1.36976,0.00153965,0.00153965,0.00153965
95,1220.38,0.67441,0.46301,1.39715,0.93142,0.85801,0.91739,0.75113,0.70153,0.55527,1.43144,0.0015347,0.0015347,0.0015347
96,1232.85,0.67412,0.47654,1.40269,0.92987,0.8607,0.92691,0.76009,0.67711,0.52553,1.35606,0.00152975,0.00152975,0.00152975
97,1245.35,0.66524,0.46591,1.38175,0.95329,0.84584,0.9293,0.77723,0.64997,0.52631,1.33023,0.0015248,0.0015248,0.0015248
98,1258,0.65736,0.46271,1.37381,0.95884,0.84381,0.92874,0.77509,0.65299,0.54161,1.37786,0.00151985,0.00151985,0.00151985
99,1270.6,0.68498,0.4703,1.39251,0.93775,0.84787,0.91817,0.75549,0.68504,0.6004,1.34437,0.0015149,0.0015149,0.0015149
100,1283.59,0.68689,0.47452,1.3965,0.96791,0.8357,0.92477,0.75779,0.68215,0.55695,1.37139,0.00150995,0.00150995,0.00150995
101,1296.19,0.6692,0.45792,1.35339,0.95945,0.85801,0.9221,0.75678,0.67657,0.55528,1.42698,0.001505,0.001505,0.001505
102,1308.89,0.66099,0.46748,1.37841,0.9677,0.85083,0.92494,0.77553,0.65369,0.54525,1.33922,0.00150005,0.00150005,0.00150005
103,1321.53,0.65206,0.45961,1.39171,0.92806,0.86357,0.91747,0.76108,0.67063,0.55982,1.39804,0.0014951,0.0014951,0.0014951
104,1334.07,0.68585,0.48822,1.43156,0.95189,0.8357,0.9243,0.76009,0.68676,0.54166,1.3793,0.00149015,0.00149015,0.00149015
105,1346.73,0.65159,0.47665,1.35919,0.92288,0.84961,0.91122,0.7527,0.6696,0.54249,1.34087,0.0014852,0.0014852,0.0014852
106,1359.45,0.66066,0.46793,1.40979,0.93655,0.85193,0.92602,0.77223,0.65613,0.52488,1.3623,0.00148025,0.00148025,0.00148025
107,1372.09,0.66454,0.45897,1.37883,0.94676,0.86565,0.92629,0.7683,0.67056,0.55285,1.35754,0.0014753,0.0014753,0.0014753
108,1385.12,0.67125,0.4649,1.39271,0.95036,0.8544,0.9184,0.7648,0.67718,0.59894,1.39337,0.00147035,0.00147035,0.00147035
109,1397.42,0.66096,0.46174,1.3989,0.9469,0.86804,0.92666,0.76878,0.66926,0.51831,1.35782,0.0014654,0.0014654,0.0014654
110,1409.92,0.66597,0.47481,1.3857,0.96058,0.84038,0.9187,0.75749,0.68028,0.58038,1.35721,0.00146045,0.00146045,0.00146045
111,1422.28,0.66511,0.46753,1.38255,0.95957,0.85801,0.92669,0.76843,0.67444,0.55635,1.32998,0.0014555,0.0014555,0.0014555
112,1434.72,0.65486,0.45466,1.38686,0.94243,0.8499,0.92018,0.75846,0.70041,0.56209,1.46962,0.00145055,0.00145055,0.00145055
113,1447.54,0.65122,0.4624,1.3748,0.93471,0.86815,0.91888,0.76624,0.64842,0.52237,1.31895,0.0014456,0.0014456,0.0014456
114,1460.37,0.66851,0.46948,1.40584,0.9559,0.83529,0.91779,0.76268,0.68553,0.55698,1.32717,0.00144065,0.00144065,0.00144065
115,1472.95,0.67428,0.46217,1.43497,0.96355,0.83976,0.9234,0.7617,0.69339,0.55996,1.36492,0.0014357,0.0014357,0.0014357
116,1485.48,0.66954,0.46788,1.41017,0.9497,0.8426,0.91239,0.7672,0.65266,0.60432,1.35835,0.00143075,0.00143075,0.00143075
117,1497.98,0.64993,0.44757,1.39085,0.93254,0.85396,0.92463,0.76359,0.6819,0.54947,1.35616,0.0014258,0.0014258,0.0014258
118,1510.58,0.66563,0.46012,1.38822,0.93767,0.86815,0.92567,0.76644,0.6764,0.54997,1.36237,0.00142085,0.00142085,0.00142085
119,1523.59,0.65372,0.45749,1.38801,0.97183,0.82759,0.92539,0.76907,0.66086,0.54332,1.35516,0.0014159,0.0014159,0.0014159
120,1536.06,0.6653,0.45586,1.3847,0.96611,0.80944,0.91579,0.74874,0.68471,0.56939,1.37011,0.00141095,0.00141095,0.00141095
121,1548.79,0.6385,0.45334,1.38478,0.9441,0.85639,0.92065,0.7608,0.67929,0.56185,1.37381,0.001406,0.001406,0.001406
122,1561.18,0.67559,0.45569,1.42075,0.96331,0.85801,0.92835,0.76193,0.67096,0.53122,1.36169,0.00140105,0.00140105,0.00140105
123,1573.78,0.67525,0.46292,1.39209,0.94118,0.84386,0.91483,0.75577,0.68865,0.56863,1.3661,0.0013961,0.0013961,0.0013961
